,domain,ip_count,subdomain_count,number_of_domains,ip_entropy,subdomain_entropy,change_numbers,change_duration_mean,change_duration_std,change_amp,domain_len,domain_name_entropy,digit_number,digit_number_ratio,digit_group,word_group,longest_substring_ratio,left_days,alive_days,update_days,label
497,so.com,0,0,0,0.0,0.0,2.0,2.0,0.0,0.0,6,13.509775004326935,0,0.0,0,1,0.8333333333333334,7340.0,7340.0,756.0,0
498,126.com,0,0,0,0.0,0.0,2.0,2.0,0.0,0.0,7,19.651484454403235,3,0.42857142857142855,1,1,0.42857142857142855,7752.0,7752.0,116.0,0
499,drive2.ru,0,0,0,0.0,0.0,,,,,9,26.52932501298081,1,0.1111111111111111,1,2,0.5555555555555556,,,,0
500,gyazo.com,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,9,26.52932501298081,0,0.0,0,3,0.3333333333333333,4280.0,4280.0,323.0,0
501,khabaronline.ir,0,0,0,0.0,0.0,,,,,15,50.603358934127776,0,0.0,0,3,0.4,,,,0
502,doublepimp.com,0,0,0,0.0,0.0,1.0,2.0,0.0,8.125,14,47.30296890880647,0,0.0,0,3,0.42857142857142855,4369.0,4369.0,350.0,0
503,oppo.com,0,0,0,0.0,0.0,2.0,5.5,2.5,2.3118055596704257,8,17.24511249783653,0,0.0,0,2,0.5,7460.0,7460.0,215.0,0
504,people.com.cn,33,89,8,0.5279303756678562,0.4035836092982308,2.0,2.0,0.0,0.0,13,38.1057163358342,0,0.0,0,3,0.4615384615384616,,,,0
505,google.at,0,0,0,0.0,0.0,,,,,9,24.52932501298081,0,0.0,0,2,0.6666666666666666,,,,0
506,digitalocean.com,0,0,0,0.0,0.0,3.0,2.0,0.0,0.5790660241435862,16,56.0,0,0.0,0,3,0.4375,6977.0,6977.0,818.0,0
507,eskimi.com,0,0,0,0.0,0.0,,,,,10,29.21928094887362,0,0.0,0,2,0.5,3752.0,3752.0,137.0,0
508,zdic.net,0,0,0,0.0,0.0,2.0,5.0,1.0,0.2634399326359573,8,24.0,0,0.0,0,3,0.5,5301.0,5301.0,330.0,0
509,amazon.de,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,9,26.52932501298081,0,0.0,0,2,0.6666666666666666,,,,0
510,juejin.im,0,0,0,0.0,0.0,4.0,2.5,0.5,0.4678317605231233,9,24.52932501298081,0,0.0,0,3,0.4444444444444444,,,,0
