,domain,domain_len,domain_name_entropy,digit_number,digit_number_ratio,digit_group,word_group,longest_substring_ratio
271,tripod.com,10,31.21928094887362,0,0.0,0,2,0.6
272,baidu.co.th,11,36.05374780501027,0,0.0,0,2,0.45454545454545453
273,epicgames.com,13,42.105716335834195,0,0.0,0,2,0.6153846153846154
274,ichaichuan.com,14,42.548081406643,0,0.0,0,4,0.35714285714285715
275,cnkang.com,10,29.21928094887362,0,0.0,0,3,0.4
276,csze.com,8,22.0,0,0.0,0,3,0.375
277,yx-s.net,8,24.0,0,0.0,0,3,0.375
278,domobcdn.com,12,32.26466250649041,0,0.0,0,4,0.25
279,qswzayy.com,11,36.05374780501027,0,0.0,0,1,0.9090909090909091
280,securestudies.com,17,55.97709329692885,0,0.0,0,3,0.4117647058823529
281,169it.com,9,28.529325012980813,3,0.3333333333333333,1,2,0.3333333333333333
282,cncrk.com,9,23.774437510817343,0,0.0,0,3,0.3333333333333333
283,pornolab.net,12,39.01955000865388,0,0.0,0,2,0.5
284,nyaatorrents.info,17,56.73198079909232,0,0.0,0,4,0.47058823529411764
285,hinet.net,9,22.529325012980813,0,0.0,0,2,0.5555555555555556
286,aqgj.cn,7,19.651484454403235,0,0.0,0,3,0.42857142857142855
287,googlecn.cc,11,29.2988603028468,0,0.0,0,2,0.5454545454545454
288,pptjia.com,10,31.21928094887362,0,0.0,0,3,0.3
289,liqucn.com,10,31.21928094887362,0,0.0,0,3,0.3
290,ebiotrade.com,13,44.10571633583419,0,0.0,0,4,0.38461538461538464
291,bhdata.com,10,31.21928094887362,0,0.0,0,2,0.7
292,hao315.com,10,31.21928094887362,3,0.3,1,2,0.3
293,7dsw.com,8,24.0,1,0.125,1,2,0.375
294,gldjc.com,9,26.529325012980813,0,0.0,0,3,0.3333333333333333
295,myjhxl.com,10,31.21928094887362,0,0.0,0,4,0.3
296,yeshj.com,9,28.529325012980813,0,0.0,0,3,0.3333333333333333
297,jdhyjf.com,10,31.21928094887362,0,0.0,0,3,0.5
