,domain,ip_count,subdomain_count,number_of_domains,ip_entropy,subdomain_entropy
356,bongacams.com,0,0,0,0.0,0.0
357,lianjia.com,0,0,0,0.0,0.0
358,zhaopin.com,0,0,0,0.0,0.0
359,jd.com,85,84,0,0.5199327718574466,0.4875507858966604
360,myanimelist.net,0,0,0,0.0,0.0
361,investing.com,0,0,0,0.0,0.0
362,metropcs.mobi,0,0,0,0.0,0.0
363,mobilemonetize.me,0,0,0,0.0,0.0
364,slack.com,0,0,0,0.0,0.0
365,sephora.com,0,0,0,0.0,0.0
366,vporn.com,0,0,0,0.0,0.0
367,otvfoco.com.br,0,0,0,0.0,0.0
368,dailymail.co.uk,0,0,0,0.0,0.0
369,msn.com,32,7,34,0.9202819531114784,0.656265789089031
370,qingting.fm,0,0,0,0.0,0.0
371,youboy.com,2,2,19,1.0,1.0
372,xiami.com,9,4,20,0.5529201095237966,0.75
373,invisionapp.com,0,0,0,0.0,0.0
374,bahn.de,0,0,0,0.0,0.0
375,zone-telechargement.ws,0,0,0,0.0,0.0
376,littlethings.com,0,0,0,0.0,0.0
377,primevideo.com,0,0,0,0.0,0.0
378,fileconvertor.org,0,0,0,0.0,0.0
379,qiniu.com,0,0,0,0.0,0.0
380,bab.la,0,0,0,0.0,0.0
381,.sp.gov.br,0,0,0,0.0,0.0
382,anjuke.com,0,0,0,0.0,0.0
383,trulia.com,0,0,0,0.0,0.0
384,rei.com,0,0,0,0.0,0.0
385,gamestop.com,0,0,0,0.0,0.0
386,privatbank.ua,0,0,0,0.0,0.0
387,ieee.org,4,5,0,1.0,1.0
388,usatoday.com,0,0,0,0.0,0.0
389,doublepimp.com,0,0,0,0.0,0.0
390,linkedin.com,1,1,0,0.0,0.0
391,ruten.com.tw,0,0,0,0.0,0.0
392,mangastream.com,0,0,0,0.0,0.0
393,washingtonpost.com,1,1,0,0.0,0.0
394,cnet.com,0,0,0,0.0,0.0
395,lemonde.fr,0,0,0,0.0,0.0
396,guancha.cn,4,3,98,0.5,0.9999999999999999
397,mafengwo.cn,0,0,0,0.0,0.0
398,google.co.id,0,0,0,0.0,0.0
399,wp.pl,0,0,0,0.0,0.0
400,dict.cn,0,0,0,0.0,0.0
401,indeed.co.uk,0,0,0,0.0,0.0
402,bilibili.com,0,0,0,0.0,0.0
403,mydala.com,0,0,0,0.0,0.0
404,businessweekly.com.tw,0,0,0,0.0,0.0
405,shopclues.com,0,0,0,0.0,0.0
406,deviantart.net,0,0,0,0.0,0.0
407,setn.com,0,0,0,0.0,0.0
408,soso.com,5,5,33,0.8277293767706428,0.8277293767706428
409,unblocked.srl,0,0,0,0.0,0.0
410,coursera.org,0,0,0,0.0,0.0
411,hexun.com,0,0,0,0.0,0.0
412,chess.com,1,1,0,0.0,0.0
413,poste.it,0,0,0,0.0,0.0
414,hola.com,0,0,0,0.0,0.0
415,xdf.cn,0,0,0,0.0,0.0
416,techradar.com,0,0,0,0.0,0.0
417,vmall.com,0,0,0,0.0,0.0
418,google.co.ve,0,0,0,0.0,0.0
419,rarbg.to,1,0,0,0.0,0.0
420,dict.cc,0,0,0,0.0,0.0
421,nationalgeographic.com,0,0,0,0.0,0.0
422,gemius.pl,11,1,0,0.4321284572240839,0.0
423,leo.org,0,0,0,0.0,0.0
424,microsoft.com,0,0,0,0.0,0.0
425,redocn.com,0,0,0,0.0,0.0
426,siteadvisor.com,0,0,0,0.0,0.0
427,codepen.io,0,0,0,0.0,0.0
428,bodybuilding.com,0,0,0,0.0,0.0
429,tutorialspoint.com,0,0,0,0.0,0.0
430,lolsided.com,0,0,0,0.0,0.0
431,express.co.uk,0,0,0,0.0,0.0
432,iciba.com,0,0,0,0.0,0.0
433,fidelity.com,0,0,0,0.0,0.0
434,fotostrana.ru,0,0,0,0.0,0.0
435,playstation.com,0,0,0,0.0,0.0
436,shanbay.com,0,0,0,0.0,0.0
437,skype.com,0,0,0,0.0,0.0
438,wikimedia.org,0,0,0,0.0,0.0
439,prnt.sc,0,0,0,0.0,0.0
440,codeonclick.com,0,0,0,0.0,0.0
441,teamviewer.com,0,0,0,0.0,0.0
442,rapidgator.net,3,3,0,0.0,0.0
443,mi.com,0,0,0,0.0,0.0
444,doublepimpssl.com,0,0,0,0.0,0.0
445,slickdeals.net,0,0,0,0.0,0.0
446,ithome.com,0,0,0,0.0,0.0
447,ask.com,0,0,0,0.0,0.0
448,mit.edu,6,2,2,0.4841962570206112,1.0
449,newegg.com,0,0,0,0.0,0.0
450,bootcss.com,0,0,0,0.0,0.0
451,pof.com,0,0,0,0.0,0.0
452,kissanime.ru,0,0,0,0.0,0.0
453,funnyjunk.com,0,0,0,0.0,0.0
454,linuxidc.com,0,0,0,0.0,0.0
455,mmofreegames.online,0,0,0,0.0,0.0
456,51cto.com,0,0,0,0.0,0.0
457,20minutes.fr,0,0,0,0.0,0.0
458,dzwww.com,0,0,0,0.0,0.0
459,leetcode.com,0,0,0,0.0,0.0
460,mawdoo3.com,0,0,0,0.0,0.0
461,visualstudio.com,1,1,0,0.0,0.0
462,csdn.net,0,0,0,0.0,0.0
463,likemag.com,0,0,0,0.0,0.0
464,yhd.com,0,0,0,0.0,0.0
465,soundcloud.com,0,0,0,0.0,0.0
466,impress.co.jp,0,0,0,0.0,0.0
467,idnes.cz,0,0,0,0.0,0.0
468,tubepornclassic.com,0,0,0,0.0,0.0
469,youth.cn,0,0,0,0.0,0.0
470,rarbg.is,0,0,0,0.0,0.0
471,ninisite.com,0,0,0,0.0,0.0
